ID,RA,DEC,CLASS
J152844.94+245320.3,232.18726,24.888983,uncertain
J081955.60+185733.5,124.98165,18.959295,overlap
J132945.39+332113.1,202.43913,33.353626,disturbed
J103306.42+320429.7,158.27673,32.074905,disturbed
J104955.08+325927.0,162.47948,32.990822,disturbed
J090600.94+252233.7,136.50391,25.376019,disturbed
J091934.14+264735.7,139.89227,26.793247,uncertain
J152924.68+255947.9,232.35284,25.996641,disturbed
J131803.94+304144.0,199.51643,30.695543,disturbed
J134500.60+294855.8,206.25249,29.815502,exclude
J125258.34+313830.1,193.24307,31.641682,exclude
J130833.89+330441.2,197.14119,33.078125,disturbed
J114135.98+321654.0,175.39992,32.281662,disturbed
J110754.07+320720.6,166.9753,32.122391,uncertain
J104029.95+295757.8,160.12479,29.966042,disturbed
J093132.02+253250.2,142.88342,25.547268,disturbed
J152605.24+241418.0,231.52182,24.238338,disturbed
J125818.24+290743.7,194.57599,29.128801,overlap
J141541.80+263749.0,213.92416,26.630274,disturbed
J142400.65+261119.4,216.00272,26.188713,disturbed
J152142.28+215033.2,230.42618,21.842543,exclude
J135449.87+281331.7,208.70781,28.225471,exclude
J143235.57+261118.3,218.14822,26.188425,exclude
J135017.16+291448.7,207.57152,29.246855,overlap
J163313.99+125647.4,248.30829,12.946508,uncertain
J134117.08+261619.4,205.32117,26.272051,disturbed
J163736.45+130135.6,249.40187,13.026566,disturbed
J143555.08+240729.7,218.97948,24.12492,uncertain
J144653.83+222320.7,221.72429,22.389091,uncertain
J162748.90+132725.5,246.95375,13.457092,exclude
J144525.73+231453.0,221.35719,23.248051,disturbed
J093518.23+260640.6,143.82596,26.111279,exclude
J100358.83+221633.8,150.99513,22.276064,big
J085806.20+174342.5,134.52585,17.728474,uncertain
J101714.64+233556.0,154.31102,23.598898,uncertain
J085630.59+180733.2,134.12747,18.125889,overlap
J103414.24+260404.0,158.55934,26.067791,uncertain
J122325.13+263110.2,185.85471,26.519501,uncertain
J122632.58+262717.9,186.63574,26.454981,disturbed
J114044.64+222649.0,175.186,22.446943,big
J075857.73+095902.4,119.74054,9.9839954,disturbed
J114214.42+221845.8,175.56007,22.312721,uncertain
J091842.32+162846.2,139.67632,16.479506,disturbed
J091216.95+163337.0,138.07063,16.560276,disturbed
J090033.87+550928.0,135.14111,55.157791,exclude
J164410.89+422755.3,251.04538,42.46537,uncertain
J135153.59+642222.3,207.97331,64.372864,disturbed
J123928.43+632228.6,189.86844,63.374622,disturbed
J085511.16+503019.0,133.79651,50.505272,disturbed
J101909.14+032207.8,154.78807,3.3688455,disturbed
J115307.18+035738.4,178.27992,3.9606621,uncertain
J091716.64+034900.8,139.31932,3.8168783,exclude
J115740.55+051114.9,179.41895,5.1874661,uncertain
J115758.70+050102.0,179.4946,5.0172343,uncertain
J121755.81+055211.2,184.48256,5.8697805,disturbed
J125328.31+055349.6,193.36794,5.8971128,disturbed
J123108.46+620133.7,187.78526,62.02602,overlap
