,ID,ra,dec
1210,J083201.50+273710.4,128.00626,27.619566
1211,J090919.90+330716.7,137.33293,33.121311
1212,J081407.38+251445.2,123.53074,25.245895
1213,J082241.41+264256.5,125.67253,26.715704
1214,J084856.54+304934.0,132.2356,30.826124
1215,J080338.56+235157.7,120.91067,23.86602
1216,J090501.50+335506.4,136.25627,33.918457
1217,J091919.42+354432.4,139.8309,35.742325
1218,J092232.01+361320.6,140.63336,36.222401
1219,J081303.69+243330.7,123.26539,24.558537
1221,J085837.37+312856.7,134.65569,31.482409
1222,J091407.98+333206.0,138.53323,33.534992
1223,J092322.42+343539.3,140.8434,34.594254
1227,J095129.66+090616.1,147.8736,9.1044703
1228,J100506.66+092718.0,151.27774,9.4550047
1229,J081257.96+052521.9,123.24149,5.4227633
1230,J085544.70+072209.8,133.93625,7.3694019
1231,J100221.46+094801.5,150.5894,9.8004236
1233,J091000.85+082240.9,137.50356,8.3780413
1235,J094321.62+100501.8,145.84007,10.083837
1236,J083802.74+075325.9,129.51141,7.890522
1237,J093728.07+101728.3,144.36696,10.291208
1238,J104518.99+123842.5,161.32912,12.64515
1239,J085357.07+084746.0,133.48778,8.7961054
1240,J095823.99+113511.7,149.59995,11.586581
1242,J124251.42+141723.6,190.71425,14.289888
1243,J091544.97+100804.9,138.93736,10.134701
1244,J102243.36+125338.6,155.68065,12.894046
1247,J104525.95+132638.2,161.35814,13.443935
1248,J105709.62+134256.5,164.29008,13.715689
1249,J114658.52+142752.6,176.74384,14.464608
1250,J124104.27+143257.4,190.26781,14.54927
1251,J085357.59+093741.3,133.48997,9.6281385
1252,J090317.40+100100.6,135.82249,10.016827
1253,J094417.09+115023.1,146.07121,11.83974
1254,J103257.52+133008.4,158.23967,13.502337
1255,J104456.20+135040.3,161.23418,13.844541
1259,J100306.32+130529.2,150.77635,13.091449
1260,J102548.60+134340.6,156.45251,13.727946
1261,J102549.00+134511.4,156.45416,13.753175
1262,J103736.50+141142.6,159.40208,14.195158
1263,J105642.05+143408.3,164.17522,14.568972
1267,J113443.24+153848.0,173.68018,15.64668
1268,J134455.63+471515.7,206.23181,47.254349
1269,J131205.55+485044.3,198.02312,48.845631
1270,J124331.82+495241.8,190.8826,49.878273
1271,J130916.79+493225.7,197.31995,49.540482
1272,J134301.80+481204.7,205.75752,48.201309
1273,J123426.55+500405.5,188.61063,50.068195
1274,J123606.71+502818.7,189.02794,50.471855
1275,J124514.60+502108.7,191.31084,50.352413
1276,J133228.38+490335.9,203.11824,49.059971
1277,J135159.88+480714.2,207.9995,48.120617
1278,J124355.38+504733.1,190.98073,50.792519
1279,J142115.60+443947.4,215.31499,44.663166
1280,J142009.46+450847.8,215.03941,45.146606
1281,J142310.99+444806.2,215.79579,44.801731
1282,J150448.33+410016.1,226.20139,41.004486
1283,J152332.95+384415.2,230.88728,38.737568
1284,J141447.35+455331.6,213.69728,45.892105
1285,J142053.28+455431.1,215.22198,45.908642
1286,J142545.97+453654.6,216.44153,45.615154
1288,J150547.61+421900.8,226.44839,42.316879
1289,J151956.00+405019.9,229.98335,40.838871
1290,J143805.57+452757.5,219.52322,45.465981
1291,J102420.93+373453.9,156.08722,37.581642
1292,J104123.80+383424.3,160.34918,38.57341
1293,J100639.37+363910.6,151.66403,36.652943
1294,J103518.34+384227.0,158.82642,38.707508
1295,J092153.36+324925.3,140.47235,32.823696
1296,J095753.19+362047.4,149.47162,36.346508
1297,J104417.78+394210.2,161.07408,39.702847
1298,J095717.30+364953.5,149.3221,36.831539
1299,J095721.27+365244.8,149.33862,36.879108
1300,J092831.92+342320.6,142.13301,34.389057
1301,J103751.88+400544.4,159.46617,40.095665
1302,J103137.28+400704.7,157.90535,40.117962
1303,J103224.01+401249.5,158.10005,40.213749
1304,J104230.07+404621.2,160.62531,40.772564
1305,J104241.37+405524.6,160.67238,40.923512
1307,J150609.48+482334.0,226.53951,48.392776
1308,J155455.40+413116.3,238.73082,41.521183
1309,J140855.41+534926.7,212.23088,53.824085
1310,J145227.42+502747.5,223.11427,50.463181
1312,J130420.74+565059.8,196.08643,56.849945
1313,J131049.29+563900.6,197.70537,56.650173
1314,J134139.23+554014.0,205.41347,55.670567
1316,J151852.63+480336.9,229.71931,48.060249
1317,J160259.93+411149.5,240.74969,41.197094
1318,J164818.90+312619.5,252.07875,31.438744
1319,J131329.34+570628.7,198.37224,57.10796
1320,J132533.39+565018.4,201.38914,56.83844
1321,J141026.37+543636.8,212.60986,54.610226
1322,J164343.38+330112.7,250.93073,33.020199
1323,J131304.32+573800.9,198.26799,57.633579
1325,J141109.47+545647.8,212.78944,54.946621
1326,J143238.20+534022.7,218.15915,53.67297
1327,J153500.11+464852.8,233.75047,46.814671
1328,J165013.38+320648.1,252.55573,32.113354
1329,J140800.29+554355.5,212.00119,55.732086
1330,J120014.85+561457.5,180.06187,56.249294
1331,J130116.72+555943.4,195.31967,55.995377
1332,J130615.48+554538.9,196.56451,55.760796
1333,J144454.77+502257.9,221.2282,50.38274
1334,J113244.71+561048.4,173.18631,56.180107
1335,J120507.10+563820.1,181.2796,56.638927
1336,J120952.04+564431.6,182.46684,56.742115
1337,J124144.50+564354.2,190.43541,56.731728
1339,J114838.36+565646.1,177.15984,56.946152
1340,J120045.23+570801.8,180.18846,57.133846
1341,J130916.38+562906.4,197.31827,56.4851
1343,J141321.82+534822.9,213.34093,53.806355
1344,J144452.43+511957.5,221.21846,51.332642
1345,J145016.42+504731.7,222.56842,50.792137
1346,J113255.28+570524.2,173.23032,57.090065
1347,J113914.62+571345.9,174.81091,57.229412
1348,J121242.89+573809.5,183.1787,57.635963
