ID,ra,dec
J123405.27+002851.7,188.52196,0.48102909
J110748.61+005527.5,166.95255,0.92430109
J011235.54+140045.0,18.14809,14.012487
J014513.83+142534.5,26.307619,14.426249
J021129.41+142803.6,32.87254,14.467672
J075056.70+390922.6,117.73626,39.156269
J075540.89+411505.7,118.92039,41.251583
J084526.52+530916.1,131.3605,53.154472
J085511.50+545541.9,133.79793,54.928295
J121426.80+682123.7,183.61165,68.356583
J090729.05+573614.8,136.87103,57.604099
J145635.66+005918.2,224.14857,0.98839414
J120707.05+020351.8,181.77939,2.0643883
J123258.85+025237.3,188.24522,2.8770266
J085428.20+011207.3,133.61749,1.2020315
J094209.01+022812.7,145.53754,2.470186
J094809.60+023144.1,147.03999,2.5289166
J095239.30+023549.1,148.16374,2.5969684
J095958.23+030232.8,149.99261,3.0424459
J144459.12+050108.8,221.24634,5.0191078
J002400.49-102208.0,6.0020595,-10.368879
J024213.23-082935.0,40.555107,-8.4930468
J002114.77-085809.6,5.3115268,-8.9693279
J005152.72-090055.4,12.96965,-9.0153971
J212858.26+112159.4,322.24277,11.3665
J103813.59+023104.7,159.55663,2.5179694
J115257.86+024226.0,178.2411,2.7072358
J112919.10+031557.0,172.32957,3.2658198
J093520.91+030337.9,143.83711,3.060528
J093020.88+032019.4,142.58698,3.3387356
J081309.71+381102.5,123.29046,38.184036
J075114.31+342505.5,117.80962,34.418198
J095526.91+544809.0,148.86211,54.802498
J092112.56+521909.3,140.30235,52.319244
J161330.18+510335.6,243.37575,51.059883
J112230.93+591644.7,170.62886,59.279083
J101938.28+572506.9,154.9095,57.418587
J140232.52-011617.1,210.63548,-1.2714268
J133756.96-014253.8,204.48734,-1.7149484
J231215.61-095633.7,348.06506,-9.9426918
J214622.41+000452.2,326.59338,0.081156723
J221031.56-005030.1,332.6315,-0.84169233
J101746.97+543821.1,154.44571,54.639194
J094209.99+480046.3,145.54163,48.012867
J113333.82+533333.6,173.39091,53.559334
J113014.86+551038.8,172.5619,55.177433
J105525.20+544651.5,163.85498,54.780972
J111831.97+564754.5,169.63322,56.798481
J090554.50+471045.5,136.47707,47.179302
J113353.77+514946.1,173.47404,51.829464
J095952.39+451659.1,149.96829,45.283085
J124634.01+494315.0,191.64169,49.720844
J112309.97+492235.2,170.79153,49.376431
J110910.40+081107.9,167.29332,8.1855316
J121531.41+602245.3,183.88089,60.379257
J125227.71+600400.7,193.11545,60.066853
J082057.61+034503.4,125.24003,3.7509573
J094620.44+054130.6,146.58517,5.6918392
J101257.27+061103.1,153.23863,6.1841874
J084751.45+052245.3,131.96437,5.3792601
J113441.03+093106.5,173.67094,9.5184641
J130531.59+533712.6,196.38164,53.620178
J131739.09+534600.8,199.41289,53.766876
J154826.66+415852.1,237.1111,41.981144
J135447.67+523419.8,208.69861,52.57217
