# inspected ranges:
# gzd_auto: merging_merger_fraction > 0.7
# gzd_5: merging_merger_debiased > 0.7
# darg
#
iauname,notes
J010504.42-021123.9,
J014852.65-080841.1,
J020605.55-094521.9,
J105021.56+284358.0,
J122628.30+090126.0,
J124956.09+151636.0,
J140623.01+292422.6,
J162741.04+093916.0,
J164507.91+205759.4,
J012600.59-012043.0,
J013137.29+003141.8,
J014614.10-055157.9,
J022302.26-000837.1,
J084422.94+045512.1,
J092450.42+213426.2,
J084847.58+141719.4,
J085357.06+084745.9,
J090516.22+191321.2,
J092449.40+213417.9,
J093939.93-001407.0,
J094252.16+015211.2,
J101552.13+023327.6,
J102718.30+165224.0,
J103653.15+095710.4,
J104203.48+091827.8,
J104520.99+271934.8,
J110721.82+240112.9,
J121318.97+080316.4,
J123109.70+003636.0,
J123111.04+003622.4,
J123922.15+034719.5,
J125253.91-031811.0,
J125422.32+174912.5,
J125822.15+280907.6,
J133710.94+094952.6,
J133957.90+004954.9,disturbed
J134815.60+152541.9,
J134900.93+004118.6,
J135744.91+052219.3,
J135901.53+022521.9,
J141041.99+043157.4,
J141346.50+081314.9,
J141724.07+245355.0,
J144039.02+032811.0,
J145229.71+262927.5,
J145322.73-001642.2,
J155327.04+130325.8,
J010929.78-001830.1,
J011344.90+022800.0,
J015700.59-034304.0,
J015505.85-023013.5,
J020709.82-093353.7,
J021957.72+053259.3,
J073751.05+235647.0,
J074429.18+273925.5,
J083031.49+181218.9,
J084921.89+190429.9,
J085337.53+272822.4,
J085750.30+221919.2,
J091643.89+185717.0,big
J092138.43+141200.1,
J092739.52+022410.3,
J092927.53+000708.7,
J093711.91+035336.7,
J095001.59+224031.9,
J095336.94+064331.7,
J095724.78+082834.2,
J100045.59+302114.1,
J101248.24+160931.3,
J100831.73-004505.0,
J100834.89+171737.7,
J101348.48-000618.7,
J101411.59+290547.9,
J101918.98+303333.3,
J104221.18+245525.0,
J104827.56+165455.1,
J105006.65-003139.8,
J105006.68-003146.4,
J105135.06+033952.7,
J105332.35-005736.5,
J105639.97+070723.9,
J110007.09+264326.2,
J111213.86+042909.8,
J111215.19-001526.4,
J111401.11-001910.8,
J112934.34+263731.9,
J112938.39+205821.4,
J113103.28-045858.3,
J113206.01+292013.5,
J113744.27+014235.3,
J113754.91+215907.8,
J114127.68-041916.8,
J114222.33+084611.5,
J114328.35+094935.4,
J115226.23-000635.8,
J121354.86+024753.1,
J121535.34+074138.2,
J121535.55+074147.0,
J123632.70+111528.6,big
J123517.71-001556.2,
J123141.33+150754.9,
J122740.32+194024.8,
J122940.26+121743.4,
J124023.40+081044.9,
J124249.52+103925.5,
J123835.53+032541.4,
J123928.55+115808.2,
J124001.05+002057.0,
J125558.12+041933.1,
J125655.32+101959.9,
J130619.02+203846.4,
J130753.42-030100.3,
J131325.90+182709.1,
J131352.11+094039.5,
J131810.21+041929.1,
J133111.20-014335.0,
J133713.66+181359.7,
J134458.30-012941.1,
J135215.70+020609.0,
J135938.17+090416.8,
J140242.45-011158.3,
J140500.18+005054.2,
J140916.98+043125.8,
J140917.32+043123.5,
J140939.28-005315.4,
J141036.30+105619.3,
J142033.50-031625.9,
J142604.67+175025.7,
J142952.90+013555.7,
J144820.93+081621.5,
J145051.50+050652.1,
J151000.67+040217.3,
J151103.65+015337.5,
J152334.29+023921.9,
J154717.65+275259.7,
J155157.79+042851.3,
J155801.76+133049.2,
J155910.46+051326.3,
J160740.32+140316.3,
J160842.75+310533.5,
J213324.87-001602.9,
J002912.39+025222.0,big
J001724.70+023508.7,
J003623.19+013550.0,
J005257.79+002207.5,
J005618.88+152531.9,
J005454.66+034417.1,
J010918.09+021215.9,
J010451.37+030118.5,
J011237.91+000510.7,
J012017.90-025717.8,
J012859.33-043027.7,
J013440.94-083402.2,
J013514.53+261627.9,
J020024.00-013310.0,
J021341.10-070850.0,
J020852.02-031612.8,
J024159.25-051433.9,
J024336.60-034818.9,
J025509.71-001040.2,
J024405.41-084328.8,
J025150.37-083706.2,
J025431.10+022243.0,
J025509.71-001040.2,
J074657.17+274717.0,
J081817.29+215420.2,
J081957.08+273648.2,
J082610.99+023551.0,
J082613.48+043920.9,
J082613.59+173748.0,
J083253.18+064316.6,
J084746.20+245451.4,
J083859.30+260813.0,
J084842.68+034822.3,
J085236.72+161912.0,
J085630.89+110159.0,
J090012.79+173312.9,
J085702.16+283952.3,
J090230.21+141037.1,
J090716.32+163946.0,
J091248.48+092727.1,
J091347.02+260451.2,
J091503.60+282220.6,
J092621.51+081421.3,
J092126.50+155225.6,
J090440.12+192042.2,
J093257.84+160403.2,
J093812.67+031433.6,
J093919.60+321821.9,
J094120.44+320713.0,
J094127.54-002033.9,
J094127.46-002040.7,
J094427.35+030317.7,
J095212.12+062439.3,
J095355.34+253145.0,
J095534.67+332041.8,
J095731.95+281037.8,
