# inspected ranges:
# gzd_auto: spiral-arm-count_1_fraction > 0.6
#
iauname,notes
J001226.82-004819.4,
J002153.79-013637.0,
J004631.60+165258.8,
J015020.22-002413.9,
J015748.07-085930.2,
J020510.80-044714.9,
J020835.30-054528.0,
J020847.94-085001.0,
J021508.86-092935.7,
J023145.99-090847.6,
J023608.03-003648.6,
J023749.40-092600.9,
J025550.20-074802.3,
J031734.63-001548.0,merger
J074230.92+214114.2,merger
J075211.48+304853.3,
J075940.69+315024.9,
J080056.51+224420.2,
J080615.50+190519.3,
J080832.91+163611.6,merger
J081230.18+195443.4,
J084038.99+245101.6,
J083157.28+033910.9,
J084249.63+290848.5,
J085735.33+274605.2,
J085823.93+165710.3,
J091232.14+285532.6,
J091544.18+300922.0,merger
J092405.50+014255.6,
J092435.34+310701.8,
J092830.99+073318.6,
J093239.83+320528.1,
J093501.82+224133.1,
J094127.54-002033.9,
J094151.92+092351.1,
J094428.62+084743.1,
J094446.53+133223.5,
J094934.40+061112.6,
J095322.62+155909.6,
J100301.74+163045.5,
J100427.09+284043.9,
J095535.51+052304.4,
J100917.83+004608.3,
J101342.77+125135.2,
J101620.90+320908.4,
J101855.53+033936.6,
J102715.35+172544.9,
J102748.88+295107.0,
J103724.56+144736.9,merger
J103821.97-004828.0,
J104244.83+000856.6,
J104541.64+083347.7,
J111217.01+025322.3,
J111409.91-000808.7,
J112531.90+290311.3,
J113246.21+225430.5,
J112935.27+065113.9,
J113317.72+220442.9,
J114153.68-031517.3,
J114157.81+224203.1,
J120044.94+015141.6,merger
J120349.74+042223.2,
J121455.53-030451.9,
J122114.22-002713.7,
J122012.85+044017.0,
J122323.55+101758.5,
J122418.69+025242.7,
J122803.26+191733.3,
J123323.45+035045.3,
J123717.19+065009.9,
J124341.80-063148.0,
J124358.04-033526.2,
J124604.49+153630.8,
J124716.27-022003.0,
J125631.53+071848.2,
J125845.36+090909.0,
J130152.09+273809.9,
J131017.89-004023.3,merger
J130429.03+011949.6,
J131305.31+165321.0,
J131524.16+094201.0,
J133309.34+234452.7,
J134044.24-004732.5,
J134450.97+135539.3,merger
J135044.89+224249.7,
J135245.94+221021.5,
J134739.65+062448.6,
J135143.16+095016.9,
J135433.82+275605.7,
J135455.15+202559.0,
J135726.92+264054.9,
J135819.01+053436.2,
J141153.15+124307.6,
J141200.04+114111.7,
J141504.70+025224.4,
J142015.83+230339.8,
J142951.17+243354.9,
J143055.65+235158.6,
J143112.56+021036.1,
J143244.24-020519.7,
J143524.19+171201.3,
J143758.51+200725.6,
J143824.21+163811.0,
J143911.48+133552.0,
J144001.40+201921.8,
J144240.99-050958.4,
J145719.34+293129.0,
J145601.79+263526.8,
J145920.10+073412.2,
J150100.13+123129.5,
J150558.74-021818.8,
J150720.42+022327.0,
J150329.02+074547.3,
J150931.94+312930.6,
J151154.56+062241.6,
J150558.74-021818.8,
J150720.42+022327.0,
J151154.56+062241.6,
J152243.59+022239.4,
J152513.35+041325.0,
J152601.49+280258.5,
J153004.33+025131.2,
J153130.25+051736.3,
J153515.85+000032.1,
J153602.13+002512.3,
J154912.33+304716.4,
J155009.80+291107.2,merger
J155123.57+281843.5,
J155157.87+040341.2,
J155542.24+264629.7,
J160645.38+091357.6,
J155841.36+141335.2,
J155805.92+220258.3,merger
J161408.92+194247.9,
J162347.73+135108.5,
J162520.60+261204.4,
J162844.04+113947.1,
J163734.32+222145.5,
J163753.07+310711.8,
J165440.61+341408.4,
J212547.72+065348.2,merger
J214949.08+014444.6,merger
J221936.00-010004.5,
J224532.86+002640.2,
J233244.60-005847.9,
J233820.87-003628.2,
J225939.83+172643.7,
J230819.11+152728.4,
J225222.35+010659.9,merger
J090335.37+002048.7,merger
J014951.97-052720.7,compact
J023031.26-094033.8,compact
